Make,Model,Price,Year,Kilometer,Fuel Type
Honda,Amaze 1.2 VX i-VTEC,505000,2017,87150,Petrol
Maruti Suzuki,Swift DZire VDI,450000,2014,75000,Diesel
Hyundai,i10 Magna 1.2 Kappa2,220000,2011,67000,Petrol
Toyota,Glanza G,799000,2019,37500,Petrol
Toyota,Innova 2.4 VX 7 STR [2016-2020],1950000,2018,69000,Diesel
Maruti Suzuki,Ciaz ZXi,675000,2017,73315,Petrol
Mercedes-Benz,CLA 200 Petrol Sport,,2015,47000,Petrol
BMW,X1 xDrive20d M Sport,,2017,75000,Diesel
Skoda,Octavia 1.8 TSI Style Plus AT [2017],,2017,56000,Petrol
Nissan,Terrano XL (D),,2015,85000,Diesel
Hyundai,Elite i20 Sportz 1.2,,2017,20281,Petrol
Renault,Kwid 1.0 RXT [2016-2019],,2018,22541,Petrol
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],,2019,30672,Petrol
Tata,Harrier XZ [2019-2020],,2019,20856,Diesel
Volkswagen,Polo GT TSI,944999,2017,41417,Petrol
Maruti Suzuki,Celerio ZXi AMT [2019-2020],569000,2016,,Petrol
Maruti Suzuki,Alto 800 LXi (O),449000,2019,,Petrol
Maruti Suzuki,Baleno Alpha Automatic,894999,2018,,Petrol
Maruti Suzuki,Wagon R ZXi 1.2 AMT,699000,2020,,Petrol
Hyundai,Creta 1.6 E Petrol,740000,2016,,Petrol
Maruti Suzuki,S-Presso VXi AMT,470000,2020,,Petrol
Volkswagen,Vento Comfortline Petrol AT,765000,2015,,Petrol
Hyundai,Santro Sportz AMT [2018-2020],589000,2018,,Petrol
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],999000,2019,,Petrol
Maruti Suzuki,Alto LXi CNG,370000,2019,,CNG
Maruti Suzuki,Ritz Zxi BS-IV,325000,2013,,Petrol
Hyundai,Creta 1.6 SX Plus Petrol,1175000,2019,,Petrol
Honda,Brio V MT,351000,2014,,Petrol
Hyundai,Elite i20 Asta 1.2,551000,2015,,Petrol
Honda,WR-V VX MT Petrol,819999,2018,,Petrol
Hyundai,Venue SX 1.0 Turbo iMT,990000,2020,24013,Petrol
Hyundai,Creta 1.6 SX Plus AT,925000,2016,66000,Diesel
Ford,Ecosport Titanium+ 1.0L EcoBoost,535000,2015,28000,Petrol
Honda,CR-V 2.4 AT,860000,2013,67000,Petrol
Hyundai,Santro GL (CNG),145000,2009,72000,CNG
Tata,Tiago Revotron XE [2016-2019],409000,2018,27069,Petrol
Tata,Tigor Revotorq XT,490000,2018,43000,Diesel
Toyota,Innova 2.4 G 8 STR [2016-2017],1900000,2019,71000,Diesel
Mercedes-Benz,GLC 220 d Progressive,3850000,2017,45600,Diesel
Hyundai,Creta SX 1.6 CRDi (O),1125000,2018,60000,Diesel
Mercedes-Benz,M-Class ML 250 CDI,2300000,2014,105101,Diesel
Toyota,Corolla Altis VL AT Petrol,1095000,2016,45000,Petrol
Audi,A4 2.0 TDI (177bhp) Premium Plus,1575000,2013,66000,Diesel
Mercedes-Benz,SLK-Class SLK 200 K,2400000,2010,34105,Petrol
Hyundai,Elite i20 Asta 1.2,525000,2015,68397,Petrol
Mahindra,Thar CRDe 4x4 AC,625000,2015,65000,Diesel
Maruti Suzuki,Baleno Delta 1.2,605000,2019,27469,Petrol
Maruti Suzuki,Celerio VXi AMT,412000,2016,41058,Petrol
Maruti Suzuki,Ciaz VDi SHVS,625000,2016,51330,Diesel
